664 articles
+----------------------------------+-------------+--------+---------------+---------------+
| Titlu                            |    Autor    |  Tip   | Numar versuri | Numar cuvinte |
| Doamne, nu-i pe lume piatră      | Traian Dorz | poezie |       33      |      142      |
| Mi-am luat prin soare            | Traian Dorz | poezie |       30      |      147      |
| Învaţă-ne Lumină                 | Traian Dorz | poezie |       23      |      113      |
| Nu-i o mai cerească zare         | Traian Dorz | poezie |       27      |      113      |
| Mai curat decât zăpada           | Traian Dorz | poezie |       29      |      105      |
| Când Te-ai plecat spre noi       | Traian Dorz | poezie |       24      |       95      |
| Ce-nalt Ţi-araţi Tu              | Traian Dorz | poezie |       29      |      114      |
| Hristos e totul pentru noi       | Traian Dorz | poezie |       29      |      117      |
| Milă ai de noi Părinte           | Traian Dorz | poezie |       29      |      109      |
| Ce dulce-a fost cândva           | Traian Dorz | poezie |       29      |      122      |
| Slăvit să fie Domnul şi Numele-I | Traian Dorz | poezie |       34      |      100      |
| Răspunzi în faţa lui Hristos     | Traian Dorz | poezie |       29      |      131      |
| Nu pe braţul meu                 | Traian Dorz | poezie |       34      |      134      |
| Veşnic slavă Ţie                 | Traian Dorz | poezie |       34      |       81      |
| Ce-nalt e Doamne                 | Traian Dorz | poezie |       29      |      111      |
| Pentru toate-Ţi suntem Ţie       | Traian Dorz | poezie |       34      |      104      |
| Fiul meu iubit                   | Traian Dorz | poezie |       34      |      122      |
| Slavă Ţie Doamne                 | Traian Dorz | poezie |       29      |       73      |
| Ce-ar fi Doamne                  | Traian Dorz | poezie |       29      |      109      |
| Când noi nu vom mai fi           | Traian Dorz | poezie |       30      |      103      |
| Noi n-avem aur                   | Traian Dorz | poezie |       29      |      124      |
| Ştii tu ce mare har?             | Traian Dorz | poezie |       29      |      132      |
| Fiul meu, ascultă-mi             | Traian Dorz | poezie |       29      |      121      |
| Lumina-I Chipul Tău              | Traian Dorz | poezie |       34      |      144      |
| Nemuritoare slavă Ţie            | Traian Dorz | poezie |       30      |      106      |
| Chinul pocăinţei tale            | Traian Dorz | poezie |       35      |      126      |
| O, de-am putea!                  | Traian Dorz | poezie |       29      |       95      |
| Dacă rodul tău                   | Traian Dorz | poezie |       29      |       99      |
| Osteneala mântuirii              | Traian Dorz | poezie |       29      |       92      |
| Până n-ai ajuns...               | Traian Dorz | poezie |       29      |      108      |
| Fie-ţi timpul                    | Traian Dorz | poezie |       29      |      117      |
| Puţini ţi-s anii buni            | Traian Dorz | poezie |       29      |      127      |
| Nu-i o mai strălucită viaţă      | Traian Dorz | poezie |       29      |      101      |
| Pe stânca neclintită             | Traian Dorz | poezie |       29      |       80      |
